vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
0.0,0.0,1,0.0,,,,,,,,,,,,,[0. 0.],[0. 0.]
0.0,0.0,1,0.8333,0.2043,-inf,0.2806,-8.4064,1.9272,3.1515,0.0528,,0.0727,0.0288,1.9983,1.2298,[0. 0.],[0. 0.]
1.5,30.0,0,0.0,,,,,,,,,,,,,[1.921 6.015],[0.033 0.039]
1.5,30.0,1,0.0,,,,,,,,,,,,,[2.081 6.468],[0.038 0.042]
1.5,30.0,2,0.0,,,,,,,,,,,,,[1.877 6.75 ],[0.001 1.425]
1.5,33.75,0,0.0,,,,,,,,,,,,,[1.45 8.2 ],[0.004 0.824]
1.5,33.75,1,0.0,,,,,,,,,,,,,[2.113 7.822],[0.023 0.043]
1.5,33.75,2,0.0,,,,,,,,,,,,,[1.674 9.517],[0.004 0.047]
1.5,37.5,0,0.0,,,,,,,,,,,,,[2.073 7.543],[0.008 0.08 ]
1.5,37.5,1,0.0,,,,,,,,,,,,,[1.548 7.819],[0.027 0.412]
1.5,37.5,2,0.0,,,,,,,,,,,,,[1.726 7.776],[0.009 1.579]
1.5,41.25,0,0.0,,,,,,,,,,,,,[1.793 3.364],[0.001 0.045]
1.5,41.25,1,0.0,,,,,,,,,,,,,[1.13  3.192],[0.057 0.046]
1.5,41.25,2,0.0,,,,,,,,,,,,,[1.841 8.64 ],[0.018 0.256]
1.5,45.0,0,0.0,,,,,,,,,,,,,[1.843 4.864],[0.008 0.171]
1.5,45.0,1,0.0,,,,,,,,,,,,,[1.787 7.445],[0.01  0.044]
1.5,45.0,2,0.0,,,,,,,,,,,,,[1.936 6.13 ],[0.004 0.038]
1.5,48.75,0,0.0,,,,,,,,,,,,,[2.14  7.807],[0.036 0.219]
1.5,48.75,1,0.0,,,,,,,,,,,,,[1.83  5.616],[0.001 0.045]
1.5,48.75,2,0.0,,,,,,,,,,,,,[1.908 6.395],[0.131 0.157]
1.5,52.5,0,0.0,,,,,,,,,,,,,[2.048 7.528],[0.048 0.019]
1.5,52.5,1,0.0,,,,,,,,,,,,,[1.928 6.944],[0.023 0.203]
1.5,52.5,2,0.0,,,,,,,,,,,,,[1.996 6.974],[0.045 0.024]
1.5,56.25,0,0.0,,,,,,,,,,,,,[1.948 7.161],[0.004 0.048]
1.5,56.25,1,0.0,,,,,,,,,,,,,[1.666 8.927],[0.003 0.177]
1.5,56.25,2,0.0,,,,,,,,,,,,,[1.717 7.947],[0.029 0.049]
1.5,60.0,0,0.0,,,,,,,,,,,,,[2.15  7.882],[0.015 0.031]
1.5,60.0,1,0.0,,,,,,,,,,,,,[2.    4.207],[0.001 0.305]
1.5,60.0,2,0.0,,,,,,,,,,,,,[1.919 7.095],[0.001 0.185]
1.5,63.75,0,0.0,,,,,,,,,,,,,[2.042 6.7  ],[0.041 0.024]
1.5,63.75,1,0.0,,,,,,,,,,,,,[1.828 2.104],[0.026 0.047]
1.5,63.75,2,0.0,,,,,,,,,,,,,[1.95  6.877],[0.001 0.32 ]
1.5,67.5,0,0.0,,,,,,,,,,,,,[1.797 7.871],[0.003 0.06 ]
1.5,67.5,1,0.0,,,,,,,,,,,,,[1.916 7.985],[0.009 0.762]
1.5,67.5,2,0.0,,,,,,,,,,,,,[1.997 3.633],[0.026 0.041]
1.5,71.25,0,0.0,,,,,,,,,,,,,[1.939 8.862],[0.036 0.028]
1.5,71.25,1,0.0,,,,,,,,,,,,,[2.004 3.399],[0.007 0.047]
1.5,71.25,2,0.0,,,,,,,,,,,,,[2.098 6.108],[0.011 0.048]
1.5,75.0,0,0.0,0.196,-1.621,0.244,-6.168,1.243,0.395,0.0,0.0,0.0,0.0,0.0,0.0,[2.05  6.148],[0.002 0.022]
1.5,75.0,1,0.0,,,,,,,,,,,,,[2.147 8.492],[0.035 0.001]
1.5,75.0,2,0.0,,,,,,,,,,,,,[1.929 8.88 ],[0.001 0.047]
1.5,78.75,0,0.0,,,,,,,,,,,,,[2.037 4.79 ],[0.004 0.04 ]
1.5,78.75,1,0.0,,,,,,,,,,,,,[1.926 3.156],[0.002 0.073]
1.5,78.75,2,0.0,0.183,-1.386,0.227,-5.219,1.242,0.31,0.0,0.0,0.0,0.0,0.0,0.0,[1.932 5.262],[0.041 0.025]
1.5,82.5,0,0.0,,,,,,,,,,,,,[2.13  8.597],[0.002 0.452]
1.5,82.5,1,0.0,,,,,,,,,,,,,[2.102 3.995],[0.041 0.049]
1.5,82.5,2,0.0,,,,,,,,,,,,,[2.11  6.614],[0.017 0.029]
1.5,86.25,0,0.0,,,,,,,,,,,,,[1.992 6.427],[0.014 0.035]
1.5,86.25,1,0.0,,,,,,,,,,,,,[2.131 8.043],[0.003 0.263]
1.5,86.25,2,0.0,,,,,,,,,,,,,[2.12 6.13],[0.001 0.036]
1.5,90.0,0,0.0,,,,,,,,,,,,,[2.007 9.514],[0.006 0.376]
1.5,90.0,2,0.0,,,,,,,,,,,,,[1.813 4.466],[0.008 0.048]
1.6,30.0,0,0.0,,,,,,,,,,,,,[1.396 3.02 ],[0.009 0.032]
1.6,30.0,1,0.0,,,,,,,,,,,,,[2.005 9.296],[0.003 0.286]
1.6,30.0,2,0.0,,,,,,,,,,,,,[2.051 5.972],[0.002 0.72 ]
1.6,33.75,0,0.0,,,,,,,,,,,,,[1.998 4.901],[0.033 0.07 ]
1.6,33.75,1,0.0,,,,,,,,,,,,,[1.74 6.63],[0.093 0.023]
1.6,33.75,2,0.0,,,,,,,,,,,,,[2.048 7.571],[0.008 0.041]
1.6,37.5,0,0.0,,,,,,,,,,,,,[1.994 5.601],[0.002 0.067]
1.6,37.5,1,0.3333,0.2238,-7.543,0.1747,-8.9748,0.7957,1.3148,0.0044,0.3022,0.0052,0.018,0.0209,0.0274,[2.268 8.953],[0.045 0.033]
1.6,37.5,2,0.0,,,,,,,,,,,,,[1.896 7.386],[0.015 0.046]
1.6,41.25,0,0.0,,,,,,,,,,,,,[1.748 9.432],[0.003 0.068]
1.6,41.25,1,0.0,,,,,,,,,,,,,[1.809 4.788],[0.023 0.011]
1.6,41.25,2,0.0,,,,,,,,,,,,,[1.722 2.885],[0.037 0.006]
1.6,45.0,0,0.0,,,,,,,,,,,,,[2.049 6.449],[0.039 0.029]
1.6,45.0,1,0.0,,,,,,,,,,,,,[1.989 7.053],[0.013 0.024]
1.6,45.0,2,0.0,,,,,,,,,,,,,[1.784 3.084],[0.015 0.05 ]
1.6,48.75,0,0.0,,,,,,,,,,,,,[1.977 4.403],[0.013 0.038]
1.6,48.75,1,0.0,,,,,,,,,,,,,[1.888 3.676],[0.006 0.497]
1.6,48.75,2,0.0,,,,,,,,,,,,,[1.839 4.813],[0.009 0.047]
1.6,52.5,0,0.0,,,,,,,,,,,,,[1.692 6.849],[0.016 0.029]
1.6,52.5,1,0.0,,,,,,,,,,,,,[1.912 3.91 ],[0.009 0.023]
1.6,52.5,2,0.0,,,,,,,,,,,,,[2.053 6.342],[0.041 0.029]
1.6,56.25,0,0.0,,,,,,,,,,,,,[1.815 4.576],[0.04  0.016]
1.6,56.25,1,0.0,,,,,,,,,,,,,[2.179 7.251],[0.008 0.245]
1.6,56.25,2,0.0,,,,,,,,,,,,,[2.036 6.081],[0.038 0.01 ]
1.6,60.0,0,0.0,,,,,,,,,,,,,[2.05  6.323],[0.023 0.167]
1.6,60.0,1,0.0,,,,,,,,,,,,,[1.804 7.867],[0.019 0.041]
1.6,60.0,2,0.0,,,,,,,,,,,,,[2.011 5.376],[0.016 0.16 ]
1.6,63.75,0,0.0,,,,,,,,,,,,,[2.15  6.249],[0.004 0.016]
1.6,63.75,1,0.0,,,,,,,,,,,,,[2.13  6.623],[0.03 0.04]
1.6,63.75,2,0.0,,,,,,,,,,,,,[2.097 8.234],[0.015 0.044]
